#,Reč,Značenje,Primer u rečenici
62,Fantazmagorija,"Privid, halucinatorna slika",Gradska svetla delovala su kao fantazmagorija.
63,Bespuće,Mesto bez puteva; simbol duhovne ili moralne izgubljenosti,"Lutali su kroz bespuće vlastitih sumnji.
"
64,Kanon,Skup priznatih i uticajnih umetničkih dela,"On čita van kanona, tražeći neotkrivene glasove."
65,Obzorje,"Vidljiva linija neba i zemlje, simbol širine pogleda",U njegovim mislima širilo se novo obzorje.
66,Zavetrina,"Mesto zaštićeno od vetra, simbol mira",Pronašao je svoju zavetrinu u jednostavnosti.
67,Tmina,"Gusta, potpuna tama; simbol unutrašnjeg mraka",Koračao je kroz tminu tražeći makar iskricu smisla.
68,Zaglušujuće,Preterano glasno,Njegovo ćutanje bilo je zaglušujuće.
69,Usud,"Sudbina, neizbežna sila",Nije mogao da pobegne od vlastitog usuda.
70,Deus ex machina,Božanska intervencija bez unutrašnje logike,"Pojavio se kao deus ex machina, kad je sve delovalo izgubljeno."
71,Kamerton,Sprava za određivanje tona; simbol unutrašnjeg sklada,Svaka njena misao odzvanjala je po kamertonu srca.
72,Uobrazilja,"Maštovita, često preuveličana predstava o sebi ili svetu",Uobrazilja ga je vodila dalje nego što bi razbor dopustio.
73,Otelovljenje,Oličenje apstraktne osobine ili ideje,Postao je otelovljenje nade koju su svi izgubili.
74,Stamena,"Postojana, čvrsta, nepokolebljiva",Ona je stamena i kad se sve oko nje ruši.
75,Bestragija,"Zabačeno mesto bez puta, bez traga",Zanavek su nestali u nekoj zimskoj bestragiji.
76,Katafalk,"Postolje za odar pokojnika, simbol prolaznosti",Tišina je bila dublja od katafalka.
77,Relikt,"Ostatak prošlih vremena, dragocena zaostavština",On je bio relikt epohe koju više niko nije pamtio.
78,Beštija,Divlja zver; surova strana čoveka,U njemu je spavala beštija kojoj niko nije znao ime.
79,Špilja,Prirodna pećina; simbol unutrašnjih dubina,Dugo je prebivao u špilji sopstvene tišine.
80,Nepatvorena,"Iskrena, neiskvarena, autentična",Njen smeh bio je nepatvorena radost.
81,Smiraj,Kraj dana ili kraja nečega; trenutak umirenja,"Dočekali su smiraj bez reči, ali sa mirom."
82,Sablazniti,"Moralno uznemiriti, šokirati postupkom",Uspeo je da sablazni i sopstvenu senku.
83,Protozoa,"Jednostavan, prastari jednoćelijski organizam","Ideje su mu bile proste kao protozoa, ali uporni."
84,Kaleidoskop,Cev sa šarama koje se neprestano menjaju; simbol raznovrsnosti,Život mu se okretao kao kaleidoskop uspomena.
85,Okrilje,"Zaštita, zaklon, utočište",Našao je okrilje u tišini njenog prisustva.
86,Osokoliti,"Ohrabriti, podići duh",Uspeo je da ga osokoli jednim pogledom.
87,Ophrvan,"Preplavljen osećajem, mislima ili silom","Ophrvan nemirom, nije mogao da zaspi."
88,Dognati,Doterati nekoga ili nešto do određenog mesta,Pa ja sam ih morao sve dognati.
89,Arhaičan,"Starinski, iz prošlih epoha, zastareo","Nosio je arhaičan mir, koji se više ne sreće."
90,Sokoliti,"Podsticati, bodriti, davati snagu",Svako jutro ga je sokolila nežna reč njegove bake.
91,Napabirčiti,Skupiti malo po malo; sabrati rasuto,Od sećanja je napabirčio priču koju niko više nije pamtio.
92,Maskaradni,"U vezi sa maskama, lažima, pretvaranjem","Sve je postalo maskaradno, bez istine i glasa."
93,Preludijum,"Uvodni deo, često muzički; simbol početka",Bilo je to tek preludijum onoga što će doći.
94,Dokolica,Vreme bez obaveza; prazan hod svesti,U dokolici su mu rasli najdublji snovi.
95,Livreja,Svečana uniforma sluge ili kočijaša,U livreji je delovao kao senka prošlog veka.
96,Nomenklatura,Službeni ili sistemski naziv; skup pojmova,Promena je stigla i do najtvrđe nomenklature moći.
97,Čileti,"Biti zdrav, živahan, pun snage i lakoće",Počeo je da čili tek kad je zavoleo tišinu.
98,Ustoličiti,Postaviti na presto; simbolično postaviti na vlast,Ustoličili su ga kao čuvara zaboravljenih vrednosti.
99,Profan,"Svetovan, običan, neuzvišen; često i nepoštovan",Profan pogled na svet lišio ga je čuda.
100,Menuet,"Stari, otmeni ples u tročetvrtinskom taktu",Sve je u njenom govoru bilo poput menueta – odmereno i blago.
101,Rogobatno,"Grubo, nezgrapno, u izrazu ili izgledu",Rogobatne reči narušile su tišinu trenutka.
102,Pregalaštvo,"Predano, marljivo i dugotrajno zalaganje",Njena tiha radinost bila je primer pregalaštva.
103,Trkeljisati,"Pažljivo pretresati, pipkati, tražiti nešto",Satima je trkeljisao po uspomenama u staroj fioci.
104,Stihija,Neukrotiva prirodna sila; nešto haotično i snažno,"Pred stihijom emocija, nije mogao da se obrani."
105,Safari,"Istraživački put kroz divljinu, često radi posmatranja",U sebi je započeo tihi safari kroz neistražene želje.
106,Tušta i tma,Velika količina nečega; nepregledivo mnoštvo,"Bilo je tušta i tma razloga da ode, ali je ostao."
107,Snoviđenje,San sa jakim slikama; često mističan ili proročki,U snoviđenju je video sve što ga čeka.
108,Ostrvljen,"Osion, krvožedan, uskogrud, plitkouman",Njegove ideje bile su previše ostrvljene da bi doprele dalje.
109,Epopeja,Veliko epsko delo; veličanstven poduhvat,Život mu je bio tiha epopeja neprimetnih borbi.
116,Čiieti,"Slabiti, malaksavati, polako nestajati, kopneti",Vetar je polako čileo sa poslednjim bojama jeseni.
123,Besposličiti,"Lenčariti, dangubiti bez svrhe",Danima je besposličio gledajući senke po zidu.
124,Paladin,"Vitez, borac za čast i ideale","U tami bez časti, ostao je poslednji paladin."
125,Frivolan,"Površan, lakomislen, neozbiljan",Frivolan smeh parao je tišinu razgovora.
126,Raspusnik,Onaj koji živi razvratno i raskalašno,Bio je raspusnik u telu pesnika.
127,Nalaštiti,"Ulepšati, posebno spoljašnje; ulickati",Kuća je bila nalaštena do poslednje cigle.
128,Taktilan,"Povezan sa dodirom, opipljiv",Dodir njene ruke bio je taktilna molitva.
129,Tociljati,"Polako se kretati, gegati bezvoljno",Tociljao se niz ulicu kao da ga i dan nosi.
